name, filePath, gesturetype, comments, result
bad gesture, dataOutput/Joe/2017-08-01 14-24-44.hand, defaultGestureType, pretty bad, Failed
weird, dataOutput/Joe/2017-08-01 14-25-33.hand, defaultGestureType, hard to see, Passed
