gestureName, filePath, comments, result
gesture1Left, dataOutput/testid1/2017-08-08 05-22-40.hand, j1, Yes
gesture1Left, dataOutput/testid1/2017-08-08 05-22-45.hand, j2, Yes
gesture2Left, dataOutput/testid1/2017-08-08 05-22-53.hand, j3, Yes
gesture1Left, dataOutput/testid1/2017-08-08 05-51-52.hand, ;klklk, Yes
gesture1Left, dataOutput/testid1/2017-08-08 05-55-39.hand, ;klklk, Yes
